480a80,481635
481640,481ace
481ad0,481ff2
482000,482ce7
482d60,483683
4836f0,483ea7
483eb0,484954
4849c0,484a2d
484a30,484abf
484ac0,484b62
484b70,484c5c
484c60,484ce5
484cf0,484f28
484fe0,485090
485090,4850e4
4850f0,485187
485190,485212
485220,485262
485270,4852b2
4852c0,485302
485310,4855cf
4855d0,485678
485680,4856aa
4856b0,4856da
4856e0,48570a
485710,48573a
485740,485765
485770,485795
4857a0,4857d2
4857e0,485812
485820,485852
485860,485954
485960,4859ab
4859b0,485a70
485a70,485b4a
485b50,485c1b
485c20,485cec
485cf0,485dbc
485dc0,485e8c
485e90,485f5c
485f60,48602c
486030,4860fc
486100,4861cc
4861d0,48629c
4862a0,48636c
486370,48643c
486440,48650c
486510,486539
486540,486569
486570,486597
4865a0,486613
486620,4866e5
4866f0,4867cf
4867d0,4868af
4868b0,48698f
486990,486a88
486a90,486b58
486b60,486c28
486c30,486ce8
486cf0,486d5a
486d60,486db8
486dc0,486e8d
486e90,486e95
486ea0,486f90
486f90,487082
487090,487180
487180,4872c3
4872d0,4873a6
4873b0,48767a
487680,4878e7
4878f0,487b1f
487b20,487d1b
487d20,487fcc
487fd0,48818a
488190,488265
488270,48832b
488330,4883c3
4883d0,4884c1
4884d0,4885a6
4885b0,48861a
488620,488678
488680,488790
488790,48895a
488960,4889fc
488a00,488a44
488a50,488b5d
488b60,488c9a
488ca0,488dc1
488dd0,488e49
488e50,488e66
488e70,488e89
488e90,4890af
4890b0,48930f
489310,489684
489690,489a32
489a40,489b20
489b20,489eb8
489ec0,48ae60
48ae60,48b977
48ba20,48bbae
48bbb0,48bd3e
48bd40,48bece
48bed0,48c05e
48c060,48c1ee
48c1f0,48c37e
48c380,48c50e
48c510,48c69e
48c6a0,48c82e
48c830,48c9be
48c9c0,48cb4e
48cb50,48ccde
48cce0,48ce6e
48ce70,48cffe
48d000,48d18e
48d190,48d31e
48d320,48d4ae
48d4b0,48d63e
48d640,48d7ce
48d7d0,48d95e
48d960,48daee
48daf0,48dc7e
48dc80,48de0e
48de10,48df9e
48dfa0,48e12a
48e130,48e2ba
48e2c0,48e44a
48e450,48e5da
48e5e0,48e76a
48e770,48e8fa
48e900,48ea88
48ea90,48ec18
48ec20,48eda8
48edb0,48ef38
48ef40,48f0c8
48f0d0,48f258
48f260,48f347
48f350,48f844
48f850,48fc00
48fc00,490e66
490e70,490eaa
490eb0,490edf
490ee0,4912b7
4912c0,4918db
4918f0,491b8a
491b90,491eaa
491eb0,492f1b
492f20,4932f0
4932f0,493acc
493ad0,493dd5
493e00,4942e0
4942e0,494375
494380,494417
494420,4945d8
4945e0,494754
494760,49476a
494770,49484c
494850,4949a4
4949b0,494ac7
494ad0,494c0e
494c10,494c90
494c90,494cb9
494cc0,494cf1
494d00,494d33
494d40,494d77
494d80,494d9b
494da0,494dac
494db0,494dbc
494dc0,494dcd
494dd0,494ddd
494de0,494de7
494df0,494df7
494e00,494e07
494e10,494e31
494e40,494e61
494e70,494eab
494eb0,49501a
495020,495459
495460,4974d9
497590,497602
497610,497ae6
497af0,497c41
497c50,497d3c
497d40,498292
4982c0,4983f8
498400,49844d
498450,49852d
498530,498734
498740,498765
498770,4987a3
4987b0,498979
498980,498987
498990,498cd8
498ce0,498d05
498d10,498e62
498e70,498ff5
499000,4990f4
499100,4997a2
4997b0,499af7
499b00,499bbb
499bc0,499c50
499c50,49a48e
49a490,49a4c7
49a800,49a826
49a830,49a865
49aa30,49aa31
49aa40,49aab0
49abe0,49aca3
49ad70,49ad95
49ada0,49adb4
49adc0,49add0
49add0,49ade0
49ade0,49adef
49adf0,49ae11
49ae20,49afb5
49afc0,49b9c1
49b9d0,49ba5d
49ba60,49ba7c
49bb50,49c0b0
49c0b0,49c0f6
49c100,49c92a
49c930,49c942
49c950,49c95f
49c960,49c966
49c970,49c99e
49c9a0,49e038
49e040,49e15c
49e160,49e317
49e320,49e391
49e3a0,49e3bc
49e3c0,49e3c6
49e3d0,49e3d6
49e3e0,49e44f
49e450,49e5aa
49e5b0,49e5cb
49e5d0,49e5e9
49e5f0,49e5f6
49e600,49e603
49e610,49e6cc
49e6d0,49e7a1
49e7b0,49e88b
49e890,49e94a
49e950,49e9a1
49e9b0,49e9f0
49e9f0,49eacb
49ead0,49ee5c
49ee90,49f45a
49f460,49f53b
49f540,49f54d
49f550,49f634
49f640,49f729
49f730,49f819
49f820,4a0449
4a04c0,4a070c
4a0730,4a0c23
4a0c30,4a0fac
4a0fb0,4a12b8
4a12e0,4a1841
4a1850,4a1d7e
4a1d80,4a1f26
4a1f30,4a22bf
4a22c0,4a247f
4a2480,4a2638
4a2640,4a26a9
4a26b0,4a2793
4a27a0,4a299f
4a29a0,4a2a5a
4a2a60,4a2a7f
4a2a80,4a2b44
4a2b50,4a2bd8
4a2be0,4a2c4b
4a2c50,4a2cba
4a2cc0,4a2d21
4a2d30,4a2dc4
4a2dd0,4a2fae
4a2fb0,4a318e
4a3190,4a34e7
4a34f0,4a365f
4a3660,4a36a3
4a36b0,4a4076
4a4080,4a4c68
4a4c70,4a4e77
4a4e80,4a5032
4a5040,4a50ba
4a50c0,4a5103
4a5110,4a5201
4a5210,4a540b
4a5730,4a57f4
4a5800,4a5dc3
4a5dd0,4a5e94
4a5ea0,4a60b5
4a60c0,4a6184
4a6190,4a66a1
4a66b0,4a6774
4a6780,4a6922
4a6930,4a6aea
4a6af0,4a6d3f
4a6d40,4a6f7e
4a6f80,4a71c2
4a71d0,4a734a
4a75b0,4a83c2
4a83f0,4a851a
4a8aa0,4a98aa
4aa120,4aa696
4aa6a0,4aa782
4aa790,4aaa9b
4ab1b0,4ab2a8
4ab2b0,4ab451
4ab460,4ab52b
4ab530,4ab602
4ab610,4ab673
4ab770,4ab85f
4ab8e0,4ab99c
4ac420,4ac77c
4ace60,4ad168
4ae290,4ae3e1
4ae540,4afd4d
4b2360,4b2582
4b3a40,4b3f0d
4b4eb0,4b538a
4b5930,4b59fa
4b5a00,4b5acc
4b5ad0,4b5bda
4b5be0,4b5e84
4b5e90,4b612d
4b6130,4b63de
4b63e0,4b64ea
4b64f0,4b6503
4b6510,4b65d9
4b65e0,4b6fa6
4b6fc0,4b7b96
4b7ba0,4b8087
4b80a0,4b8456
4b8460,4b8646
4b8870,4b8a22
4ba6f0,4ba90e
4bb530,4bb635
4bb640,4bb6ea
4bcb70,4bcc35
4bdb30,4bdd3b
4be5c0,4be667
4be670,4bec1a
4bec20,4bed9e
4beda0,4bedf3
4bee00,4bee35
4bee40,4bee76
4bee80,4bfb76
4bfb80,4c035f
4c0360,4c13fb
4c1400,4c28b5
4c28c0,4c2a88
4c2a90,4c2d67
4c2d70,4c30c5
4c30d0,4c3548
4c3550,4c3ee9
4c3ef0,4c4069
4c40b0,4c41f7
4c4200,4c4687
4c4690,4c4848
4c4850,4c496a
4c4970,4c5832
4c58e0,4c601b
4c6020,4c6025
4c6030,4c7494
4c74a0,4c74c3
4c74d0,4c74eb
4c74f0,4c7f26
4c7f30,4c8064
4c8070,4c8133
4c8370,4c8410
4c8410,4c8500
4c8500,4c862a
4c8630,4c8817
4c8820,4c8850
4c8850,4c8953
4c8960,4c89e1
4c89f0,4c8a49
4c8a50,4c8aad
4c8ab0,4c8e5a
4c8e60,4c9249
4c9250,4c9556
4c9560,4c986f
4c9870,4c9bfd
4c9c00,4ca02f
4ca030,4ca371
4ca380,4ca6a6
4ca6b0,4caa1c
4caa20,4cad5d
4cad60,4cb0d4
4cb0e0,4cb406
4cb410,4cb70f
4cb710,4cb7a9
4cb7b0,4cb8bc
4cb8c0,4cb8ed
4cb8f0,4cba0e
4cba40,4cbbec
4cbbf0,4cbc5c
4cbc60,4cbd09
4cbd10,4cbdb9
4cbdc0,4cbe69
4cbe70,4cbf19
4cbf20,4cbfc9
4cbfd0,4cc079
4cc080,4cc129
4cc130,4cc192
4cc1a0,4cc23d
4cc240,4cc259
4cc260,4cc28e
4cc290,4cc39c
4cc3a0,4cc51e
4cc560,4cc5ed
4cc5f0,4cc634
4cc640,4cc6e5
4cc6f0,4cc717
4cc720,4cc7be
4cc7c0,4cc7d9
4cc7e0,4cc8a0
4cc8a0,4cc8bc
4cc8c0,4cc8de
4cc8e0,4cc912
4cc920,4cc933
4cc940,4cca50
4cca60,4ccafe
4ccb00,4ccc3b
4ccc40,4ccd40
4ccd40,4cce44
4cce50,4cd022
4cd030,4cd0f3
4cd100,4cd19f
4cd1a0,4cd2a0
4cd2a0,4cd340
4cd340,4cd386
4cd390,4cd67f
4cd680,4cd6be
4cd6c0,4cddef
4cde40,4cdec7
4cded0,4ce072
4ce080,4ce0b1
4ce0f0,4ce124
4ce130,4ce1cb
4ce1d0,4ce4b8
4ce4f0,4ce749
4ce750,4ceab4
4ceac0,4ceebb
4ceec0,4cf288
4cf290,4cf590
4cf590,4cf6ab
4cf6e0,4cf91d
4cf920,4cf97c
4cf980,4cfd5a
4cfd60,4cfe1b
4cfe20,4cfe45
4cfe50,4cff9c
4cffa0,4d04b3
4d04c0,4d0ce4
4d0d30,4d0f21
4d0f30,4d1114
4d1120,4d1320
4d1320,4d150b
4d1510,4d161c
4d1620,4d17e6
4d17f0,4d18c4
4d18d0,4d1add
4d1ae0,4d1bf4
4d1c00,4d1dd4
4d1de0,4d1ee1
4d1ef0,4d20d4
4d20e0,4d21b2
4d21c0,4d2201
4d2210,4d270f
4d27b0,4d29fd
4d3170,4d3181
4d3181,4d33cf
4d3930,4d3dd9
